"X","Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM","Mean_CORR","High_Corr_Count"
53,"601_fri_c1_250_5",250,6,"S1",2,0.866860301994231,0.074848737310731,0.0966613901107767,136.389069096228,0.75005919601592,9,781.637000000017,"sin_deg(x2)","x4","sigmoid(x2)",1,1,1,0.14911272804801,1
54,"602_fri_c3_250_10",250,11,"S1",2,0.61124731547427,0.139033170218765,0.167090107102004,92.928867937924,0.268409616446673,9,654.40400000001,"x4","x5","sin_deg(x5)",0.999900734684909,0.699754418304227,0.673692273690032,0.164897979095035,2
55,"603_fri_c0_250_50",250,51,"S1",2,0.976546641886925,0.0326759859882422,0.0399514535319847,320.55592944853,0.951869378765498,8,791.142000000022,"x2*x1","x3*x3","sigmoid(x2*x1)",1,1,1,0.0492289039509375,0
56,"604_fri_c4_500_10",500,11,"S1",2,0.87995436772964,0.070566900614836,0.090155253520724,346.444563293136,0.770238061774498,12,1179.25100000002,"x3","x5*x3","x4",1,1,1,0.18311580938671,2
57,"605_fri_c2_250_25",250,26,"S1",2,0.785929360321264,0.107180857112032,0.136325234724096,75.4896365854608,0.617462355467318,14,754.683000000019,"x3","x1","sigmoid(x1)",0.999986169624606,0.999371773794668,0.998750151453529,0.0611440213881474,1
58,"606_fri_c2_1000_10",1000,11,"S1",2,0.855055237193024,0.0798794436278922,0.106925298599076,564.57824013367,0.729603054167655,13,1699.99800000002,"x2*x2","x3*x3","p0(sigmoid(x2))",1,0.999999999999999,0.999999999999999,0.0747005654730325,1
59,"607_fri_c4_1000_50",1000,51,"S1",2,0.893021689284227,0.0486382746216393,0.0629830048887288,797.845063262405,0.793397187950951,14,2150.93299999999,"sigmoid(x5)","x2","sin_deg(x2)",1,1,0.999999999999999,0.0299746590452734,2
60,"608_fri_c3_1000_10",1000,11,"S1",2,0.846032726016836,0.0596777001657586,0.0792717134801237,798.645191740662,0.715502635714891,13,1971.41700000002,"sin_deg(x2)","x2*x2","sin_deg(x2*x2)",1,1,1,0.135391640984522,2
61,"609_fri_c0_1000_5",1000,6,"S1",2,0.892405857423864,0.0675336183041966,0.0864037341495565,724.972698916174,0.795958313537141,9,1716.101,"cos_deg(p0(x3))","x4","x5",1,1,1,0.0242958741999402,0
62,"611_fri_c3_100_5",100,6,"S1",2,0.725256559984374,0.117078177657248,0.140244329935366,24.2372888691514,0.513357383300625,6,405.837,"x3","x4","x5*x5",0.823197988576433,0.816188740982972,0.617874091369002,0.545198106748698,2
63,"612_fri_c1_1000_5",1000,6,"S1",2,0.803505649420275,0.0831755831083423,0.111099604451477,510.897363724208,0.644925563732529,9,595.00900000002,"x2","sigmoid(x2)","x5",1,0.999999999999999,0.99999999999998,0.160539507058489,1
64,"613_fri_c3_250_5",250,6,"S1",2,0.779627305602313,0.085175704255551,0.114202402551989,101.261546347487,0.594743227765881,8,780.068999999989,"x1*x1","cos_deg(x1)","x4",0.999999999999997,0.999999999999997,0.772951207052822,0.539339557401223,2
65,"615_fri_c4_250_10",250,11,"S1",2,0.857580216623761,0.0705268762048162,0.0926293206764566,131.098016287445,0.734160135554198,8,751.812000000005,"x2*x2","x4","cos_deg(x2)",1,1,0.999996361166718,0.175961909773079,2
66,"616_fri_c4_500_50",500,51,"S1",2,0.845669336834537,0.0659258807351405,0.0872953937401707,320.691957281655,0.714925738988512,11,1560.76599999997,"cos_deg(x5)","x2*x2","cos_deg(x2)",1,0.999999999999994,0.99999999999999,0.0418240973090118,2
67,"617_fri_c3_500_5",500,6,"S1",2,0.868537215733512,0.0656845386802492,0.0847061560229303,325.55524436273,0.746081837231695,9,444.350000000006,"sigmoid(x2)","x4","cos_deg(x2)",1,0.999999999999997,0.999999999999996,0.554686397454268,2
68,"618_fri_c3_1000_50",1000,51,"S1",2,0.992244969544586,0.0172026255207797,0.0217619636789311,1580.13160862546,0.984538738424166,10,2529.67799999999,"cos_deg(sin_deg(x3))","sigmoid(sigmoid(x1*x2))","x5",1,1,1,0.0286173365822498,2
69,"620_fri_c1_1000_25",1000,26,"S1",2,0.990612323489374,0.0215154079052382,0.026564646383156,1480.72120822579,0.981205032954329,10,1841.44899999999,"x3","x5","sigmoid(x2*x1)",1,1,1,0.0304821346207317,1
70,"621_fri_c0_100_10",100,11,"S1",2,0.977872866227446,0.0317458849117541,0.0440008203969829,99.7707316644402,0.955845756196934,8,416.519,"x3","x4","x5",1,1,1,0.0793482276769348,0
71,"622_fri_c2_1000_50",1000,51,"S1",2,0.988793192378609,0.0242650979126718,0.0299324027878625,1432.76029338535,0.977691093882319,13,2203.44,"x2*x1","cos_deg(sigmoid(x2*x1))*cos_deg(sigmoid(x2*x1))","cos_deg(x2*x1)*cos_deg(x2*x1)",1,1,1,0.0277565600218395,1
72,"623_fri_c4_1000_10",1000,11,"S1",2,0.886241467475589,0.0561648476847861,0.0741044348467112,804.827777742828,0.784601999182551,13,1934.63199999998,"x2*x2","cos_deg(x2)","x4",1,1,1,0.168064207056904,2
73,"624_fri_c0_100_5",100,6,"S1",2,0.856755096137876,0.0918271290105334,0.104429043475256,60.941108484265,0.687786445834089,7,512.276999999973,"troot(x2)","x1","x1*x1",0.999999999999892,0.999999980189045,0.973001264752276,0.0427249217697754,0
74,"626_fri_c2_500_50",500,51,"S1",2,0.881876242617143,0.0710463687645433,0.101413324597161,322.024365611561,0.760052825409863,15,1685.29699999999,"sin_deg(x4)","x5","sigmoid(x1)",1,1,1,0.038817319869931,1
75,"627_fri_c2_500_10",500,11,"S1",2,0.759123577498787,0.095660276509197,0.130290230737155,280.680522110686,0.566674044377974,13,1222.236,"x4","sin_deg(x2)","sigmoid(x2)",1,1,1,0.0816411288666567,1
