"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM","Mean_CORR","High_Corr_Count"
"628_fri_c3_1000_5",1000,6,"S3",8,0.722803319972199,0.100812780586819,0.122227453870415,442.138710254864,0.519216165501656,9,1410.728,"x5","p0(x2)","sin_deg(p0(x2))",1,0.99999999999988,0.999999999999833,0.540232489701932,2
"631_fri_c1_500_5",500,6,"S3",8,0.769019267294305,0.0933250299205471,0.128687394039489,255.034858040361,0.590772454684248,8,831.721,"sigmoid(x2*x2)","x5","x2",1,0.999999984793654,0.750019221676974,0.148650701183621,1
"633_fri_c0_500_25",500,26,"S3",8,0.959453362903063,0.0450513041554114,0.0583237621482493,422.97799600773,0.919681780830391,6,559.87,"x4","sin_deg(x3)","sin_deg(sin_deg(x3))",1,1,1,0.0380119449309093,0
"634_fri_c2_100_10",100,11,"S3",8,0.720257037027827,0.106927276069638,0.146760763167531,23.9594164836926,0.450094950236136,8,410.646,"x2","sigmoid(x2)","x5",0.999999999997313,0.999999999795718,0.999922083755775,0.137672033773961,1
"635_fri_c0_250_10",250,11,"S3",8,0.971323981992906,0.0350778489118148,0.0446606982531227,283.343613272999,0.943087529695047,6,435.955,"x4","sigmoid(x2*x1)","x3*x3",1,1,1,0.0557688273289419,0
"637_fri_c1_500_50",500,51,"S3",8,0.866471553243043,0.0795964334582748,0.101930878260602,247.852250527515,0.737975836390561,6,865.316000000001,"troot(x4)","sigmoid(x2*x2)","cos_deg(x2)",1,1,1,0.0362446318855656,1
"641_fri_c1_500_10",500,11,"S3",8,0.986114543379956,0.0266925208801153,0.0340710916752998,572.47827228317,0.972311713637107,14,985.262000000001,"sin_deg(x1*(x2*sigmoid(x2)))","sin_deg(cos_deg(x3))","cos_deg(x1*(x2*sigmoid(x2)))",1,1,1,0.0640710249342872,1
"643_fri_c2_500_25",500,26,"S3",8,0.988140094844556,0.0265561699448571,0.0335504184068556,644.763574580112,0.97538192724904,11,745.254,"x3*troot(x3)","x1*x2","troot(x1*x2)",1,1,1,0.0409195728764403,1
"644_fri_c4_250_25",250,26,"S3",8,0.840178969122624,0.0711347541396581,0.0977923447239757,148.098728713978,0.700769491467445,11,490.289999999999,"sigmoid(x2)","x4","cos_deg(x2)",1,1,1,0.0706351290205303,2
"645_fri_c3_500_50",500,51,"S3",8,0.848583886133495,0.0669209111424512,0.0850038679719906,319.933896375103,0.719195632214411,8,802.831,"(x1*x1)*(x1*x1)","p0(sigmoid(x1))","x5*x5",1,1,0.999999999999089,0.0400944727098031,2
"646_fri_c3_500_10",500,11,"S3",8,0.661183507902849,0.0787936361606733,0.149198188701526,316.455473613977,0.207980928300516,10,726.776,"x2","x4","sigmoid(x2)",0.999999989828962,0.999998262661737,0.999973714024104,0.143726821095189,2
"647_fri_c1_250_10",250,11,"S3",8,0.774872533706326,0.094198074909588,0.1255900513868,96.6518186457308,0.598268292821353,6,396.541000000001,"x4","sigmoid(x2)","sin_deg(x2)",1,1,1,0.105092023137299,1
"648_fri_c1_250_50",250,51,"S3",8,0.974089757775395,0.0383024765549185,0.0480075342094162,190.133023927742,0.94693539339601,11,540.906999999999,"sin_deg(x4)","x1*x2","sin_deg(x1*x2)",1,1,1,0.0524052676038903,1
"649_fri_c0_500_5",500,6,"S3",8,0.912929052685349,0.0574379778299975,0.0747481665342699,409.76743076791,0.8303618667555,6,737.433000000001,"x1","x2","cos_deg(x1)",1,1,1,0.033420874972634,0
"650_fri_c0_500_50",500,51,"S3",8,0.983616927780989,0.0300826923085673,0.0382773221676641,466.069038941914,0.965479342574325,9,760.922,"troot(sigmoid(sin_deg(x5)))*sigmoid(sin_deg(x4))","sigmoid(sigmoid(x2))*x1","sin_deg(sin_deg(x3))",1,1,1,0.0372228812317422,0
"651_fri_c0_100_25",100,26,"S3",8,0.970084678316126,0.0435373505379113,0.0575419040532789,48.5425948595382,0.928365519412134,15,357.210999999999,"x4","x3","sin_deg(x3)",0.999999999988163,0.999999963812919,0.999996985514534,0.0796563707277795,0
"653_fri_c0_250_25",250,26,"S3",8,0.933455443465104,0.0545230696937095,0.0706121045439724,168.430181782288,0.866698323862701,11,434.861999999999,"troot(x2*troot(x5))","x3","cos_deg(x3)",0.999999999999996,0.999999998202817,0.999999998150717,0.0557357575290344,0
"654_fri_c0_500_10",500,11,"S3",8,0.909805019389317,0.060314002925396,0.0763063399231104,472.769103541464,0.824918587750804,11,864.546999999999,"sin_deg(x2)","p0(cos_deg(x3))","x3",1,1,1,0.0371529389327794,0
"656_fri_c1_100_5",100,6,"S3",8,0.889110449894984,0.0799972798452674,0.105296203920703,34.437410217639,0.780080040774999,9,462.039000000001,"x1*x2","sigmoid(x1*x2)","x1",0.999999999998635,0.999999999998061,0.999999552351551,0.152743589367343,1
"657_fri_c2_250_10",250,11,"S3",8,0.864395767763007,0.0905250769265378,0.128807824764677,117.697899285814,0.738882298551264,11,632.332999999999,"x3","x3*x3","x5",0.999999999986921,0.999999986546648,0.999999943616878,0.108590938453923,1
"658_fri_c3_250_25",250,26,"S3",8,0.837820405483892,0.0533654244769691,0.0725695957937902,151.768028105589,0.701805206425467,7,463.518,"x2","sin_deg(x2)","x4",0.999999999999946,0.999999999997006,0.999999999997005,0.0698440848342794,2
"659_sleuth_ex1714",47,8,"S3",8,0.895896853925925,0.0584554253060012,0.0767876703897217,42.4717668106049,0.766617862902977,7,382.937000000002,"x1","cos_deg(x3*x6)","troot(x6)",0.989708912014073,0.985206808551528,0.973674802379471,0.450515133423406,0
"663_rabe_266",120,3,"S3",8,0.998253819484139,0.0151312649471474,0.0177049048318702,215.931212350734,0.995524034430756,4,468.777999999998,"x2","cos_deg(x2)","x1*x2",1,1,1,0,0
"665_sleuth_case2002",147,7,"S3",8,0.317389945452438,0.181163078910677,0.243783194098469,54.8444729415385,-0.0229356324014514,3,360.259000000002,"x6","x5","x3",0.999999999999996,0.907106161627783,0.148451937724041,0.176673527028864,0
"666_rmftsa_ladata",508,11,"S3",8,0.85053530071911,0.0452515628546517,0.0595526405967158,490.446334642516,0.712698015709012,6,665.315999999999,"x1*x1","x2","x5",1,0.999602120092877,0.903800797123293,0.425887775249786,6
"678_visualizing_environmental",111,4,"S3",8,0.678850534267206,0.125295024534642,0.175549961159694,37.2975363499845,0.356628553766689,3,298.619999999999,"x1","x2","x3",0.999669828992085,0.150362105727802,0.126889000540422,0.446990248788918,0
