"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S2",9,0.900258954099481,2.71707200569064,4.38386751750366,-973.09727333582,0.810314427799798,15,5017.252,"p3(x6)*x10","x10*p0(x13)","x1",1,1,0.999997965796317
"S3",9,0.845951045005343,3.24998472393433,6.09307733646382,-965.110359408548,0.633568468527773,20,5696.923,"x10","x1*exp_dbl(x13)","x6*(x6*x10)",1,1,1
"S4",9,0.811946819266293,3.68128298632777,7.04416313784339,-970.051910276615,0.510245688978231,13,4285.37,"x1","x1*sigmoid(x13)","x11",1,1,1
"S5",9,0.855498719907025,3.30691290344487,5.680034287622,-981.680234904159,0.681564578113872,14,4161.589,"x6*(x9*sigmoid(x13))","x13*x9","x9*x6",1,1,0.999999999813873
"S6",9,0.881823825034071,2.75430098809448,4.77447428692661,-972.543810082729,0.775006187759145,13,3791.637,"x11","x9*p3(x6)","p3(x6)",1,1,1
"S1",10,0.895016644369983,2.84938799525201,4.49334901847529,-965.340886928853,0.800721812827571,18,4525.852,"p0(x13)*x10","x10*x6","x1",1,1,0.999999927279812
"S2",10,0.823774658221566,3.64664265291935,6.58765453303255,-973.154475957251,0.571667440038088,10,4782.341,"exp_dbl(x13)*x1","(x5*x11)*x6","x8",1,1,1
"S3",10,0.803207374211732,3.75651799851039,7.42590615135153,-970.461811972113,0.455725021382691,21,6383.195,"sigmoid(x13)*x1","x6*x10","x10",1,0.999999999999995,0.999999999999428
"S4",10,0.832328727159221,3.48622973371381,6.65246734152138,-964.477964002881,0.563197657100856,18,4396.644,"exp_dbl(x13)*x1","x6*x10","x13*x10",1,1,1
"S5",10,0.894882308754174,2.85281036556816,4.49603890527364,-965.340886928853,0.80048315065902,13,3485.091,"p0(x13)*x10","x10","x11",1,0.999999999999991,0.999999999999405
