"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P6",9,FALSE,TRUE,FALSE,FALSE,3,0.74291685559398,0.657222591639746,0.00187378816472346,694.576350482811,0.999999595451206,4,NA,"troot(x4*x4)","troot((x9*x4)*x4)","(x7*x7)*troot(x4*x4)",1,0.999975606425914,0.999975606425914
"P5",10,FALSE,FALSE,FALSE,FALSE,8,0.728905948284148,0.728905948284148,0.00142174308683916,615.551499073233,0.999999875187394,8,NA,"x7","troot(1+(x4*x4))","exp_dbl(x7)*x4",1,1,1
"P1",10,FALSE,FALSE,FALSE,FALSE,8,0.733133868739863,0.733133868739863,0.001382623456608,650.074756305483,0.999999780040209,8,NA,"troot(x4*x4)","x4","x6*(x7*troot(x4*x4))",0.999999999934026,0.999999963839691,0.999999961255999
"P2",10,TRUE,FALSE,FALSE,FALSE,5,0.538838281585309,0.446605937902371,0.00119827248752509,684.341958707822,0.999999855596016,6,NA,"troot(x4*(x4*x6))","x8*x4","x4",1,0.999999316861962,0.99869590106805
"P3",10,FALSE,FALSE,FALSE,FALSE,5,0.416729415657127,0.416729415657127,0.000913067561692737,683.955183587773,0.999999915301379,5,NA,"troot(x4*x4)*x6","troot(x4*x4)","x9",1,1,0.568295553847615
"P4",10,FALSE,TRUE,FALSE,FALSE,7,0.247678138916337,0.140203637696288,0.00194093940148354,689.093407930746,0.999999475113239,8,NA,"troot(x9*(x4*x4))","x6*troot((x4*x4))","x7",0.99999999999993,0.99999999999993,0.999999998194141
"P6",10,TRUE,FALSE,FALSE,FALSE,3,0.747535188943503,0.663380251924671,0.000837106098501822,687.684548542455,0.999999889048915,4,NA,"troot((x4*x6)*x4)","x4*x6","x4",0.999999159411189,0.999999159411189,0.999999158686526
"P5",11,FALSE,FALSE,FALSE,FALSE,13,0.428898489203605,0.428898489203605,0.192210446466524,598.636222806324,0.936804722423638,13,NA,"troot(x4*x4)","x7","troot(x4)",0.999999999969822,0.999999290082849,0.999999290082635
"P1",11,FALSE,FALSE,FALSE,FALSE,3,0.668139006398938,0.668139006398938,0.000977442975513733,654.983370506614,0.999999910099197,3,NA,"x6*troot((x4*x4)+(x8+x4))","troot((x4*x4))","x10",1,1,0.128528134165311
"P2",11,FALSE,TRUE,FALSE,FALSE,6,0.406676993451385,0.307789884450501,0.00146293194392914,696.571190237194,0.999999795084604,7,NA,"troot(x4*(x9*x4))","x4*x1","troot(x4*x4)",1,0.999999999999688,0.999999842820699
"P3",11,FALSE,FALSE,FALSE,TRUE,8,0.627358756442952,0.58077873582078,0.00422512551166134,628.616184823713,0.99999402966513,9,NA,"x10*x4","x4","x6*(x4*x3)",0.999999997463679,0.999999507364154,0.999995419790642
"P4",11,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917707755157705,683.955183587772,0.999999914597754,4,NA,"troot(x4*x4)","x6*troot(x4*x4)","x9",1,0.999995304666634,0.581021011190621
"P6",11,FALSE,FALSE,FALSE,FALSE,6,0.536795268355614,0.536795268355614,0.00166792085898536,681.302845280186,0.999999786599637,6,NA,"x9*troot(x4*x4)","troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x7",1,1,1
"P5",12,FALSE,FALSE,FALSE,FALSE,5,0.573993702161294,0.573993702161294,0.00179578759157241,682.698655591641,0.999999758218122,5,NA,"troot(x4*x4)*x9","troot(x4*x4)","x1*troot(x4*x4)",1,0.999999999999868,0.999996607925821
"P1",12,FALSE,FALSE,FALSE,FALSE,8,0.237908862409808,0.237908862409808,0.00153288491768631,696.143162243013,0.999999747032826,8,NA,"troot(x4*x4)","troot(x4*x4)*x6","troot(x4*(x4*x8))",1,1,0.999993942820059
"P2",12,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000920580764222181,683.955183587773,0.999999913864089,4,NA,"troot(x4*x4)","x6*troot(x4*x4)","x9",1,0.999970362110973,0.535868057414744
"P3",12,FALSE,FALSE,FALSE,FALSE,11,0.76183447309058,0.76183447309058,0.0413537454734521,583.428327706118,0.997056387311118,11,NA,"x4","x4*x6","troot(x4)",1,1,1
"P4",12,TRUE,FALSE,FALSE,FALSE,3,0.469802118626587,0.293069491502116,0.000840630715687876,687.673947524576,0.999999892105919,4,NA,"x4*x8","troot((x4*x4)*x6)","x4",0.998290649069493,0.998290649069493,0.997295329747523
"P6",12,FALSE,FALSE,FALSE,FALSE,5,0.584588156751922,0.584588156751922,0.000920009709464651,683.81122596715,0.999999912113376,5,NA,"troot(x4*x4)","x6*troot(x4*x4)","x9",0.999794557195212,0.999637670977103,0.564634494468189
"P5",13,FALSE,FALSE,FALSE,FALSE,9,0.546858022194156,0.546858022194156,0.00219815975290051,590.462895338727,0.999999544913209,9,NA,"x4","troot(1+((x4*x4)+(((x8*x2)*x4)+x4)))*x9","troot(1+((x4*x4)+(((x8*x2)*x4)+x4)))",0.999999791427767,0.942031996670545,0.942031996670545
"P1",13,FALSE,FALSE,FALSE,FALSE,4,0.446412420275273,0.446412420275273,0.000960445005932115,683.748086912524,0.999999915455432,4,NA,"troot(x4*x4)","troot(x4*x4)*x6","x5",1,1,0.40816440095505
"P2",13,TRUE,FALSE,FALSE,FALSE,4,0.576896278041156,0.471120347551445,0.00165943326520267,705.054085287913,0.999999581713135,5,NA,"x4*x1","x4*x8","x4*x6",0.999998623243669,0.999990618644224,0.999990618644224
