"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S4",18,0.764920402734143,1.5005638043108,2.07692155041603,3646.884,"x4","x5*x5","x5*x4","troot(x7)","x5"
"S5",18,0.754734161686504,1.52216923439324,2.11517818609762,3286.786,"x5","x7","exp_dbl(x4)","x5*x5","x6"
"S6",18,0.765166459018289,1.50116149012377,2.0757394638954,3587.705,"x5","p3(x5)","x4*x5","x6","x9"
"S1",19,0.765061696627377,1.50039895434957,2.07638069117046,3276.955,"troot(x7)","x4","sin_deg(x5)","x4*x5","x5*x5"
"S2",19,0.764937159470953,1.50056372018863,2.0768579226914,3803.4,"troot(x7)","x4*x5","x5*x5","x4","x6"
"S3",19,0.754956191827449,1.51743030957756,2.11478720696185,3908.63,"x6","exp_dbl(x4)","x8","x9","exp_dbl(x5)"
"S4",19,0.763427411586268,1.50182204697405,2.08240791790172,3357.585,"x4","x8","x9","x5*x5","x5"
"S5",19,0.754906172724036,1.51759816755609,2.11495227725879,3447.762,"x5","exp_dbl(x5)","x7","exp_dbl(x4)","x6"
"S6",19,0.762241906980966,1.52582164890925,2.08698581830019,3394.551,"exp_dbl(x5)","exp_dbl(x5)*x4","x6","p0(x7)","x5"
"S1",20,0.754734723409611,1.52216200298068,2.11517618237804,3701.022,"x5*x5","x5","exp_dbl(x4)","x7","x8"
"S2",20,0.765188792737266,1.49905179674587,2.07573676362445,3708.07,"exp_dbl(x5)","x5","exp_dbl(x5)*x4","troot(x7)","x6"
"S3",20,0.763867439353909,1.50344908692774,2.08092072570836,3392.234,"x5","x4","x5*x5","p0(x7)","x9"
"S4",20,0.765191626619827,1.49902875011371,2.07572723475784,3300.7,"exp_dbl(x5)","x5","x6","exp_dbl(x5)*x4","troot(x7)"
"S5",20,0.7651222658805,1.49908943574582,2.07598933185682,3266.719,"x5","x4*exp_dbl(x5)","exp_dbl(x5)","x6","troot(x7)"
"S6",20,0.755829344853591,1.52395798571354,2.11124370307532,3454.547,"x4","x8","x9","troot(x7)","(x6*x1)*x7"
"S1",21,0.754956190322762,1.5174303121925,2.11478721304424,2535.715,"exp_dbl(x5)","exp_dbl(x4)","x5","x6","x7"
"S2",21,0.750985945093241,1.54170791744227,2.12955700769017,3594.152,"exp_dbl(x5)","x6","x5","exp_dbl(x4)","x7"
"S3",21,0.765188731369273,1.49905201505587,2.07573699614939,3662.763,"exp_dbl(x5)","x4*exp_dbl(x5)","x5","troot(x7)","x9"
"S4",21,0.76565890953935,1.49746760991366,2.07393042384336,3303.923,"exp_dbl(x5)","exp_dbl(x5)*x4","x5","troot(x7)","exp_dbl(x6)"
"S5",21,0.764898706663132,1.50058418441922,2.07700251582498,3928.686,"x5*x5","x4","x5","x5*x4","x6"
"S6",21,0.755460057053441,1.51680047004522,2.11304953529153,3623.942,"x5","x7","exp_dbl(x4)","exp_dbl(x5)","x6"
"S1",22,0.754950891327608,1.51748134195457,2.11480620413611,2678.067,"exp_dbl(x4)","x5","exp_dbl(x5)","x6","x3"
"S2",22,0.764898669271475,1.50058515823856,2.07700266439587,3453.937,"x5*x4","x5","troot(x7)","x4","x5*x5"
"S3",22,0.770128173282383,1.49519289716142,2.05724952113737,3535.407,"x4","troot(x7)","exp_dbl(x5)","x5","x5*troot(x4)"
"S4",22,0.767046404229938,1.49920188866172,2.0689644662796,3535.622,"exp_dbl(x5)","x5","exp_dbl(x5)*x4","x7","x6"
"S5",22,0.754949437029398,1.51748781392742,2.11481145245551,3449.088,"exp_dbl(x5)","x7","x6","x5","exp_dbl(x4)"
"S6",22,0.754826380779093,1.51779851794842,2.11524437042882,3811.146,"x5","exp_dbl(x4)","x7","exp_dbl(x5)","x6"
"S1",23,0.765185787062646,1.50002715761169,2.07594146155392,2759.671,"x5*x5","x4","x5","x6","x8"
"S2",23,0.770284013021283,1.49118746777941,2.05681549894519,3970.009,"x4","x5","x4*troot(x5)","exp_dbl(x5)","x6"
"S3",23,0.754831087420165,1.51775751853595,2.11522744934784,3643.156,"exp_dbl(x5)","x7","x5","exp_dbl(x4)","x6"
"S4",23,0.754956216914041,1.51742969581154,2.11478708388401,3622.524,"exp_dbl(x4)","exp_dbl(x5)","x7","x9","x3"
"S5",23,0.761678991299378,1.52665514449924,2.08928396832425,3422.385,"x5","x5*x5","x4","troot(x7)","x5*x4"
"S6",23,0.760739800066742,1.52644462617168,2.09271711378024,3733.851,"x4","x6","x1","x4*x4","x5*exp_dbl(x5)"
"S1",24,0.76943686859796,1.51223869310407,2.06048559573372,3001.628,"x6","x7","troot(x4)","x5","exp_dbl(troot(x4))"
"S2",24,0.75110900213064,1.54143246356324,2.12911843481651,3486.353,"x7","exp_dbl(x4)","exp_dbl(x5)","x6","x5"
"S3",24,0.764904050911745,1.50057239551499,2.07698211023355,3506.776,"x4","x5","x6","troot(x7)","x5*x5"
"S4",24,0.770954683799383,1.49183269943888,2.05424166644775,3688.291,"x4*p0(x5)","x5","exp_dbl(x5)","x7","x6"
"S5",24,0.747279959177247,1.53575012626175,2.1449716651957,3711.665,"x4","x5","x5*x5","p0(x5)*x7","p0(x3)"
"S6",24,0.758108923429211,1.51642721922161,2.10262903051606,3379.49,"x4","exp_dbl(x5)","troot(x7)","x9","x8"
"S1",25,0.765122473469788,1.49908422359883,2.07598850979931,2825.536,"exp_dbl(x5)","x5","troot(x7)","x4*exp_dbl(x5)","x9"
"S2",25,0.763945920067254,1.52201600366566,2.08037611649318,3936.692,"x5","exp_dbl(x5)*x4","x6","troot(x7)","exp_dbl(x5)"
"S3",25,0.771700930327986,1.48816408417998,2.05145424665439,3881.766,"x4*p0(x5)","x6","x5*exp_dbl(x5)","x5","x7"
"S4",25,0.767337635580477,1.50142034682486,2.06777066885776,3486.682,"x4","x5","x4*x5","x7","x6"
"S5",25,0.765186002995089,1.50018996378737,2.0759411538783,3299.308,"x4*x5","x4","x6","x5*sin_deg(x5)","x5"
"S6",25,0.763997083123518,1.50247348028117,2.08034551550932,3503.002,"x4","x5","x5*x5","x4*x5","troot(x7)"
"S1",26,0.764937066033533,1.50057028345518,2.07685836377597,2785.663,"x5*x5","x4","x5","troot(x7)","x6"
"S2",26,0.765194179786393,1.50011992115218,2.07590698919468,3739.609,"x5","troot(x7)","x6","x4","x8"
"S3",26,0.754831681607385,1.51774536887291,2.11522535691988,3790.278,"x7","exp_dbl(x4)","x6","exp_dbl(x5)","x5"
"S4",26,0.762085394536118,1.50462496779324,2.0867607206568,3709.872,"x5","x7","x5*x5","x4","x7*x5"
"S5",26,0.757727123626196,1.51816819410021,2.10410377406489,3544.79,"exp_dbl(x5)","x4","x9","x8","p0(x7)"
"S6",26,0.75578836554458,1.51672658003409,2.11154362913455,3134.761,"exp_dbl(x5)","exp_dbl(x4)","x4","troot(x7)","exp_dbl(x5)*x6"
"S1",27,0.76225806417646,1.52570739262885,2.08709175904568,3635.075,"troot(x7)","x6","x5*x4","x4","x5*x5"
