"MajorAxis","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","Eccentricity","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","PlanetaryDensJpt"
0.18,0,0.035546,0.355,29.334,0.042,0.99,0.95,0.18,5498,0.794521543065176
0.5,0,0.072666,0.801947,143.213,0.022,0.99,0.95,0.18,5498,0.140894569131692
0.053,0,0.081,0.452,4.887804,0.198,0.81,0.75,0.31,4780,0.877141611632708
0.092,0,0.0383853003,0.4353652161,9.75598,0.077,1.099,1.136,0.17,5939,0.46516149683734
0.382,2,1.45,0.94,86.647661,0.772,0.99,1.13,0.27,5520,1.74575961010566
0.05119,0,0.0330298,0.1558328,3.743208,0.25,1.28,1.52,0.02,6182,8.728293099294
0.3046,0,0.11009952,0.59781473,54.32031,0.019,1.28,1.52,0.02,6182,0.515330195390936
0.0443,0,0.66,1.283,3.332688,0,1.048,1.104,0.23,5645,0.312510034205942
0.463,2,3.94,0.921,111.4273,0.93369,0.98,0.978,0.43,5370,5.04332936099464
0.2804,0,1.84,1.101,50.790391,0.0323,1.129,1.606,-0.04,6150,1.37865584398452
0.1445,0,0.094,0.719,18.7959228,0.0493,1.129,1.606,-0.04,6150,0.252895547071436
0.098,0,0.0055264,0.37647,10.9542,0.0561,1.022,0.961,0.37,5513,0.103574106108333
0.057,0,21.66,1.01,4.2568,0,1.37,1.56,-0.02,6740,21.0229826041128
0.0474,0,0.58,1.26,3.76483,0,1,0.95,-0.05,5750,0.289945490247833
0.116,0,0.0963,0.22236,13.726976,0.04,1.101,1.735,-0.07,5923,8.75903559079376
0.09,0,0.027,0.139,9.34149,0.05,1.101,1.735,-0.07,5923,10.0535481764167
0.03585,0,0.595,1.192,2.6843285,0.019,0.85,0.95,-0.1,5560,0.351308129297036
0.04947,0,0.467,1.388,4.0378962,0.09,1,1.186,-0.25,6100,0.174641913920525
0.0466,0,0.292,1.109,4.0087844,0.067,0.842,0.82,0.23,4990,0.214085972963219
0.0456,0,0.077,0.357,3.21346,0,1.223,1.487,0.17,5857,1.69233398857428
0.0379,2,1.709,1.4588,2.204737,0,1.59,2.02,0.32,6310,0.550496800005479
0.04016,0,0.917,1.44,2.828042,0.07,1.078,1.116,0.16,5675,0.307101444615912
0.0518,0,1.11,1.45,3.89713,0.047,1.21,1.65,-0.02,6090,0.36409856902702
0.0781,0,0.63,0.96,7.340711,0,1.18,1.12,0.42,6000,0.712076822916667
0.0697,0,0.863,0.775,7.919585,0.1,0.719,0.613,-0.15,4650,1.85398274646705
0.05064,0,2.114,1.431,3.54846,0,1.374,1.793,0.04,6297,0.721416517535045
0.0254,0,1.03,1.49,1.5089557,0,0.95,1.11,-0.3,6298,0.311371184985016
0.0464,0,0.81,0.89,3.91405,0,0.87,0.82,0.02,5000,1.14898669303189
0.0964,0,1.946,1.072,10.863502,0.19,1.013,1.08,0.22,5568,1.57964129979419
0.0427,0,5.9,1.04,3.3564227,0.193,0.92,0.88,0.15,4955,5.2450785161584
0.02624,0,2.279,1.269,1.5373653,0,1.02,0.943,-0.31,5881,1.11521719990983
0.0517,0,0.42,1.4,4.61442,0,0.87,0.87,-0.07,5200,0.153061224489796
0.0426,0,0.8,1.685,2.69404,0,1.418,1.683,0.21,6390,0.167220790205502
0.03444,0,0.98,1.67,2.143634,0,1.19,1.75,-0.12,5920,0.210414983436261
0.02729,0,1.637,1.171,1.6284246,0,1,1.084,0.09,5700,1.01947831904387
0.0232,0,2.09,1.368,1.212884,0.106,1.13,1.203,0.15,5905,0.816371799110077
0.02959,0,0.939,1.325,1.720861232,0.0038,1.167,1.287,0.27,5750,0.403662083464874
0.051,0,0.75,1.26,3.67724,0,1.33,1.64,0.11,6325,0.374929513251509
0.063,0,0.22,0.57,6.21229,0,0.88,0.77,0.3,5080,1.18794986851555
0.03107,0,1.372,1.972,1.7100567,0,1.4,1.567,0.32,5720,0.178909490758952
0.0494,0,4.063,1.024,4.124461,0.228,0.947,1.105,0.01,5588,3.78396362066269
0.0677,0,3.328,1.197,5.4527,0.441,1.392,1.535,0.22,6442,1.94044289465095
